,RICH,DELN,PLZA,NBRK,DBRK,ASHB,MCAR,19TH,12TH,LAKE,FTVL,COLS,SANL,BAYF,HAYW,SHAY,UCTY,FRMT,CONC,PHIL,WCRK,LAFY,ORIN,ROCK,WOAK,EMBR,MONT,POWL,CIVC,16TH,24TH,GLEN,BALB,DALY,COLM,CAST,DUBL,NCON,PITT,SSAN,SBRN,SFIA,MLBR,WDUB,OAKL
POWL,384.00,697.00,335.00,330.00,698.00,399.00,706.00,838.00,803.00,605.00,773.00,476.00,498.00,477.00,314.00,190.00,300.00,538.00,452.00,520.00,429.00,206.00,193.00,450.00,946.00,776.00,322.00,137.00,362.00,1297.00,1687.00,1131.00,2114.00,1288.00,594.00,240.00,640.00,238.00,566.00,444.00,385.00,1110.00,667.00,274.00,119.00
CIVC,314.00,676.00,380.00,440.00,659.00,511.00,806.00,914.00,796.00,576.00,821.00,406.00,460.00,420.00,301.00,240.00,312.00,485.00,442.00,530.00,400.00,253.00,209.00,574.00,886.00,646.00,592.00,332.00,89.00,665.00,1093.00,811.00,1362.00,850.00,519.00,239.00,619.00,270.00,551.00,424.00,385.00,457.00,666.00,260.00,61.00
16TH,171.00,212.00,118.00,151.00,327.00,218.00,373.00,449.00,303.00,233.00,290.00,157.00,145.00,124.00,83.00,73.00,63.00,122.00,120.00,125.00,102.00,55.00,44.00,170.00,368.00,1231.00,1589.00,1550.00,733.00,48.00,248.00,337.00,700.00,328.00,161.00,59.00,155.00,64.00,174.00,148.00,142.00,184.00,280.00,62.00,22.00
24TH,175.00,184.00,71.00,88.00,258.00,125.00,214.00,331.00,276.00,139.00,213.00,124.00,93.00,79.00,59.00,43.00,36.00,46.00,67.00,71.00,62.00,30.00,26.00,101.00,208.00,1563.00,2076.00,1925.00,1087.00,235.00,47.00,261.00,573.00,271.00,127.00,25.00,86.00,42.00,138.00,100.00,133.00,156.00,239.00,31.00,19.00
GLEN,43.00,73.00,31.00,38.00,126.00,34.00,80.00,173.00,156.00,53.00,68.00,71.00,37.00,31.00,22.00,10.00,14.00,30.00,34.00,50.00,45.00,15.00,17.00,41.00,61.00,1135.00,1415.00,1262.00,728.00,336.00,274.00,35.00,120.00,76.00,63.00,18.00,55.00,13.00,60.00,42.00,73.00,102.00,144.00,22.00,15.00
BALB,62.00,90.00,34.00,28.00,102.00,44.00,79.00,127.00,147.00,76.00,92.00,62.00,60.00,40.00,32.00,22.00,19.00,34.00,45.00,38.00,36.00,12.00,17.00,39.00,86.00,1327.00,1786.00,2448.00,1232.00,602.00,565.00,106.00,55.00,105.00,89.00,18.00,60.00,21.00,67.00,74.00,113.00,110.00,159.00,18.00,8.00
DALY,64.00,119.00,43.00,39.00,103.00,36.00,72.00,138.00,161.00,89.00,106.00,115.00,84.00,67.00,46.00,38.00,46.00,62.00,78.00,60.00,54.00,14.00,16.00,26.00,54.00,1107.00,1490.00,1169.00,674.00,266.00,237.00,62.00,101.00,23.00,37.00,25.00,87.00,42.00,99.00,65.00,116.00,150.00,226.00,36.00,11.00
COLM,16.00,28.00,5.00,8.00,46.00,10.00,27.00,81.00,127.00,14.00,9.00,16.00,10.00,7.00,5.00,5.00,5.00,6.00,23.00,13.00,21.00,5.00,3.00,6.00,14.00,877.00,1061.00,685.00,494.00,147.00,127.00,59.00,83.00,43.00,16.00,4.00,18.00,6.00,28.00,23.00,54.00,127.00,100.00,6.00,2.00
CAST,5.00,8.00,5.00,7.00,57.00,9.00,29.00,78.00,104.00,121.00,62.00,51.00,50.00,64.00,24.00,13.00,17.00,43.00,7.00,4.00,6.00,1.00,4.00,7.00,12.00,532.00,568.00,306.00,257.00,67.00,28.00,18.00,17.00,32.00,3.00,11.00,102.00,2.00,4.00,4.00,5.00,20.00,6.00,70.00,8.00
DUBL,18.00,30.00,18.00,15.00,123.00,20.00,66.00,230.00,231.00,196.00,129.00,136.00,95.00,159.00,59.00,35.00,56.00,103.00,8.00,6.00,7.00,1.00,3.00,13.00,27.00,2023.00,1716.00,753.00,657.00,192.00,96.00,55.00,68.00,117.00,18.00,109.00,52.00,2.00,8.00,25.00,17.00,117.00,16.00,40.00,78.00
NCON,5.00,7.00,4.00,3.00,46.00,8.00,63.00,163.00,170.00,15.00,10.00,19.00,10.00,5.00,11.00,2.00,5.00,9.00,50.00,35.00,56.00,11.00,6.00,24.00,7.00,482.00,496.00,276.00,296.00,72.00,46.00,18.00,23.00,52.00,6.00,2.00,2.00,14.00,53.00,10.00,12.00,59.00,14.00,0.00,12.00
PITT,37.00,39.00,17.00,19.00,119.00,35.00,271.00,266.00,347.00,44.00,53.00,103.00,41.00,21.00,41.00,15.00,26.00,52.00,327.00,152.00,234.00,47.00,25.00,62.00,40.00,793.00,766.00,701.00,671.00,202.00,171.00,86.00,92.00,129.00,32.00,4.00,10.00,61.00,38.00,42.00,53.00,162.00,39.00,7.00,34.00
SSAN,12.00,36.00,7.00,11.00,38.00,9.00,35.00,69.00,83.00,14.00,15.00,23.00,15.00,14.00,8.00,8.00,6.00,8.00,32.00,25.00,19.00,5.00,7.00,13.00,17.00,655.00,826.00,499.00,421.00,147.00,110.00,40.00,86.00,86.00,16.00,4.00,25.00,10.00,41.00,16.00,32.00,54.00,75.00,5.00,2.00
SBRN,21.00,44.00,11.00,9.00,44.00,16.00,29.00,70.00,87.00,19.00,26.00,30.00,15.00,22.00,15.00,7.00,5.00,8.00,24.00,28.00,25.00,8.00,9.00,15.00,30.00,662.00,768.00,448.00,400.00,136.00,140.00,76.00,136.00,152.00,53.00,5.00,16.00,12.00,48.00,33.00,17.00,66.00,56.00,3.00,4.00
SFIA,55.00,106.00,66.00,96.00,209.00,69.00,120.00,99.00,121.00,41.00,66.00,40.00,42.00,34.00,20.00,15.00,23.00,38.00,120.00,174.00,190.00,100.00,87.00,155.00,117.00,448.00,452.00,826.00,390.00,175.00,147.00,99.00,115.00,191.00,121.00,22.00,120.00,67.00,168.00,54.00,58.00,59.00,284.00,40.00,19.00
MLBR,30.00,75.00,33.00,39.00,179.00,44.00,68.00,139.00,140.00,24.00,26.00,25.00,11.00,9.00,7.00,7.00,6.00,7.00,24.00,22.00,29.00,13.00,9.00,21.00,38.00,1068.00,1391.00,693.00,610.00,237.00,217.00,140.00,185.00,285.00,98.00,5.00,18.00,14.00,34.00,71.00,39.00,265.00,60.00,5.00,7.00
WDUB,6.00,16.00,9.00,10.00,59.00,11.00,25.00,105.00,123.00,80.00,61.00,66.00,53.00,98.00,39.00,24.00,19.00,43.00,4.00,2.00,3.00,1.00,1.00,6.00,9.00,846.00,781.00,336.00,300.00,76.00,38.00,26.00,24.00,51.00,5.00,79.00,39.00,0.00,7.00,6.00,3.00,42.00,6.00,25.00,35.00
OAKL,9.00,35.00,27.00,35.00,98.00,25.00,30.00,40.00,57.00,18.00,10.00,35.00,7.00,7.00,12.00,7.00,16.00,30.00,30.00,46.00,44.00,22.00,14.00,19.00,8.00,169.00,125.00,96.00,78.00,24.00,20.00,14.00,9.00,15.00,2.00,9.00,70.00,12.00,29.00,2.00,4.00,22.00,6.00,33.00,12.00
